`name`,`isverified`,`ispublic`,`description`,`biography`,`nationalityisocode`,`thumbnailurl`,`backgroundurl`,`refcode`,`tagsjson`
`YB`,`true`,`true`,,,,,,`spt_3VAJpJ7F2lgojP4rZSFdvE`,`["YB"]`
`Cheng`,`true`,`true`,,,,,,`spt_0jBuicIjx2pKvGmq9yRJju`,`["Cheng"]`
`Nòw`,`true`,`true`,,,,,,`spt_2X83vlKqCi0WY8wUYJ8B94`,`["Nòw"]`
`KN`,`true`,`true`,,,,,,`spt_4YSJNdBmkpqn879C8OATe4`,`["KN"]`
`Mr. Bo`,`true`,`true`,,,,,,`spt_2nzBPmIJVyvkp7TyxKYMx2`,`["Mr. Bo"]`
`MADMAX`,`true`,`true`,,,,,,`spt_2Y9Y2DdQEHwQW6sUDdrvnd`,`["MADMAX"]`
`Phù Sa`,`true`,`true`,,,,,,`spt_7tlO1Z0ySgi0kE2M0fhwZg`,`["Phù Sa"]`
`HANZ`,`true`,`true`,,,,,,`spt_7vd8oxKU7BrCNoKhkQ1MT2`,`["HANZ"]`
`NOIDBOI`,`true`,`true`,,,,,,`spt_0XS8WQM2riWEt1kzsgVV3v`,`["NOIDBOI"]`
`Fmajor`,`true`,`true`,,,,,,`spt_7aS6sAM7UaAR4vV3yE4YOb`,`["Fmajor"]`
`KALO`,`true`,`true`,,,,,,`spt_6Wxg8n0QwCtkziCW7uceQh`,`["KALO"]`
`BEL`,`true`,`true`,,,,,,`spt_38sX2hms1XZQsB6cQsOeDu`,`["BEL"]`
`MC Formosa`,`true`,`true`,,,,,,`spt_7IWnIxqTAEYT8eXl6UxKR5`,`["MC Formosa"]`
`Badbies`,`true`,`true`,,,,,,`spt_2ZjO6APYelcHcLd2pWMx8x`,`["Badbies"]`
`Byzzo The Baddest`,`true`,`true`,,,,,,`spt_36OaNXUm0H66gwajqmvSI2`,`["Byzzo The Baddest"]`
`Son2M`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b273b7b5805dde61783feaaa3af3`,,`spt_6G1NZbNUXtjdhTKWRTpoBd`,`["Son2M"]`
`Chuong Dan`,`true`,`true`,,,,,,`spt_5jOxrhu9sYBybFaCHQ5MEy`,`["Chuong Dan"]`
`Roller`,`true`,`true`,,,,`https://i.scdn.co/image/ab67616d0000b2738d0f552f3fd817b7e9719a88`,,`spt_5ArlH2m6JTQYpCmFF6re7i`,`["Roller"]`
`Taku/9`,`true`,`true`,,,,,,`spt_1Q9b4emc4PHN9gKpT9Igj2`,`["Taku/9"]`
`Masew`,`true`,`true`,,,,,,`spt_00nrkmyxdGy1a36vqDEQAw`,`["Masew"]`
`Lai Hy`,`true`,`true`,,,,,,`spt_1YARqc382uh4pKeIUwjIPa`,`["Lai Hy"]`
