`trackrefcode`,`filem3u8url`,`durationsecond`,`quality`
`spt_0hCsBeXVyQRwI4HPpL8hn2`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/1c7c0322815e65859ed794cb932f41b8/1c7c0322815e65859ed794cb932f41b8.m3u8`,`282`,`KBPS_128`
`spt_0k8EfmaRm7abdd4AkfcCw9`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/02657ccb5218a125497bf2461172435d/02657ccb5218a125497bf2461172435d.m3u8`,`306`,`KBPS_128`
`spt_10jWABe0icw1OxInJzGOws`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/7bd945583bfc515cbb0452986f00b729/7bd945583bfc515cbb0452986f00b729.m3u8`,`240`,`KBPS_128`
`spt_12khkwwOGnd00nqYbFQBKJ`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4272dd35f606ba0ecdba534b57e05e11/4272dd35f606ba0ecdba534b57e05e11.m3u8`,`268`,`KBPS_128`
`spt_2I8KPoG3ZyolHlHpz2Bj5c`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r004/fb6302fb5098850720182222d2e87ac2/fb6302fb5098850720182222d2e87ac2.m3u8`,`377`,`KBPS_128`
`spt_5u92CiNUBz3LhsG7VygjIL`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r002/45ef0eb06fa5837ff4ef09ed5d6b27f4/45ef0eb06fa5837ff4ef09ed5d6b27f4.m3u8`,`363`,`KBPS_128`
`spt_14u2LP4rq8QhJ7eeyBVktp`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/5e2510addea656005ecf49849de776c8/5e2510addea656005ecf49849de776c8.m3u8`,`186`,`KBPS_128`
`spt_1awcuxTG8NaqKwc80RhCKB`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/28b7d266a7501f0f838643847e868043/28b7d266a7501f0f838643847e868043.m3u8`,`134`,`KBPS_128`
`spt_12KA0kbnxGvgeasCSsZmnj`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3fa599da287c6f5968729660a3d0240c/3fa599da287c6f5968729660a3d0240c.m3u8`,`277`,`KBPS_128`
`spt_14p0AO0Lsa4r6kv5MTSQ1L`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3101e33ef7816103c4496b8dbdad4354/3101e33ef7816103c4496b8dbdad4354.m3u8`,`306`,`KBPS_128`
`spt_264vKBA2ZSCDFRyHUVkApL`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r005/f3e60704f22997404ab8d6a40ba964b4/f3e60704f22997404ab8d6a40ba964b4.m3u8`,`331`,`KBPS_128`
`spt_0hGMGwquJKG2FhcpTK76Qg`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/29c8c6378f33bc973d192d403fcb79de/29c8c6378f33bc973d192d403fcb79de.m3u8`,`241`,`KBPS_128`
`spt_3RL7H5bSRN7oHnXDoHLbbF`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r005/c8484d6e2cd258653fd8c3ef2e48e0ad/c8484d6e2cd258653fd8c3ef2e48e0ad.m3u8`,`251`,`KBPS_128`
`spt_0Ki6nnVx8fKVR7xMBDIfhJ`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/526ecc05bdb65419dda5c7bfd9ad8e6a/526ecc05bdb65419dda5c7bfd9ad8e6a.m3u8`,`185`,`KBPS_128`
`spt_3bZGGKrMQLDGg18y2QqKFF`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3d3dd21e6149f993c6c4fc6ed346441e/3d3dd21e6149f993c6c4fc6ed346441e.m3u8`,`185`,`KBPS_128`
`spt_11Ks6ozTh3pZwf6HngKxxq`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/fe70e15751f98591b9ec88e3ea8f8a5e/fe70e15751f98591b9ec88e3ea8f8a5e.m3u8`,`225`,`KBPS_128`
`spt_0X4w9d5DJ2ATPDST3UjNiV`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/80f3d96f3e18398cc1da6ff8c6b439c9/80f3d96f3e18398cc1da6ff8c6b439c9.m3u8`,`213`,`KBPS_128`
`spt_42C1jFYUyE5ddOTt5Y69zL`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r003/b71efbc197b4700289bb188f7908eccc/b71efbc197b4700289bb188f7908eccc.m3u8`,`323`,`KBPS_128`
`spt_17klFinKGmDiLMdyMtDgAU`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r001/7594768d3ec22570fc4d40e96777e131/7594768d3ec22570fc4d40e96777e131.m3u8`,`204`,`KBPS_128`
`spt_0aBObX32gxU7YCPM5e6PF8`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/b35343ddcf3c6f1e6ecfef98dd8dbdff/b35343ddcf3c6f1e6ecfef98dd8dbdff.m3u8`,`134`,`KBPS_128`
`spt_1UL2QMgWPeNCJhznvr99Jk`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r001/ba9ad60c77b4c1382633b7df945dd81e/ba9ad60c77b4c1382633b7df945dd81e.m3u8`,`228`,`KBPS_128`
`spt_75Igy85tk5MWSMVrjivn6g`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r002/8d1715acc0086620d1146b007db0707d/8d1715acc0086620d1146b007db0707d.m3u8`,`267`,`KBPS_128`
`spt_6ARkcXs5SwcV1YbN0NyRTF`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r004/6a19b230661d162fb8eb02584a8702b2/6a19b230661d162fb8eb02584a8702b2.m3u8`,`198`,`KBPS_128`
`spt_1VBJ2QBJjgbcGgsXJbHslR`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r001/231518acda680b6c7b4537c72e58efb6/231518acda680b6c7b4537c72e58efb6.m3u8`,`240`,`KBPS_128`
`spt_6SlgEjTI7VVT7FVFfDAx17`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r002/2614714e811396c3bbb10d8f83f9f767/2614714e811396c3bbb10d8f83f9f767.m3u8`,`237`,`KBPS_128`
`spt_1Ez1hGx2UQbllDR09B4vMf`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r001/d4b6524c6dec4cc9491c9aea26660e75/d4b6524c6dec4cc9491c9aea26660e75.m3u8`,`333`,`KBPS_128`
`spt_1o4Tp1Qr2FWdyXqDAct5oh`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r001/06102d33588cd282a260c5b3ccb62640/06102d33588cd282a260c5b3ccb62640.m3u8`,`302`,`KBPS_128`
`spt_0mhfW8VkkCQBUSDqHJKJnA`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/5a7d2219bb3b55eaacfb642629b6f8e1/5a7d2219bb3b55eaacfb642629b6f8e1.m3u8`,`214`,`KBPS_128`
`spt_014DA3BdnmD3kI5pBogH7c`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/5e44c91a4ef294c3b9f29e4c7e58a412/5e44c91a4ef294c3b9f29e4c7e58a412.m3u8`,`270`,`KBPS_128`
`spt_0BOFCIDygXWLtAD08nJDFV`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4468d02b7cd6363a6a1cf6fb48f434bb/4468d02b7cd6363a6a1cf6fb48f434bb.m3u8`,`168`,`KBPS_128`
`spt_0C0tak0xsYNjQwBAWzIawu`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3b750883625cf7aea49c324fbb39dc40/3b750883625cf7aea49c324fbb39dc40.m3u8`,`223`,`KBPS_128`
`spt_0D8uMaA7RSzmuzzwXjxPDz`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/577b287190c0e43fac9e7273bfd088f8/577b287190c0e43fac9e7273bfd088f8.m3u8`,`227`,`KBPS_128`
`spt_0ESvZvXdyTXGYvsc6d4OXQ`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/94df893031ae009d63ae3d2e9e43d361/94df893031ae009d63ae3d2e9e43d361.m3u8`,`307`,`KBPS_128`
`spt_0fSy1B6IjJm1Njij3YesGH`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4878a3c306cf4d4a1fe9a1ccf4609b3c/4878a3c306cf4d4a1fe9a1ccf4609b3c.m3u8`,`224`,`KBPS_128`
`spt_0I2szmVRFS0As5QHVk50EE`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/882b216984a530d0af775766194bca26/882b216984a530d0af775766194bca26.m3u8`,`388`,`KBPS_128`
`spt_0hua8EU0OVraNv6CW7VsNm`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/21c2f778f93b3a4dc1c59ab18e522549/21c2f778f93b3a4dc1c59ab18e522549.m3u8`,`206`,`KBPS_128`
`spt_0nP9fAgctLELtBmLkXus7s`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4c8178b170fee8d8d7f00ea0c63ffa08/4c8178b170fee8d8d7f00ea0c63ffa08.m3u8`,`251`,`KBPS_128`
`spt_0NTtPK7yNN4xT1YQTMxu9y`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/6c566f03ecb61e7a3e554261f0001df6/6c566f03ecb61e7a3e554261f0001df6.m3u8`,`223`,`KBPS_128`
`spt_0O7Bax6ZdqQImDgOOrnG3F`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3269d7e0df5398121ccb779924b380f4/3269d7e0df5398121ccb779924b380f4.m3u8`,`193`,`KBPS_128`
`spt_0TOsszupHDNUvzadopZv3A`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/39fab6da8ab7b2f6ebc58a4e818e1c53/39fab6da8ab7b2f6ebc58a4e818e1c53.m3u8`,`194`,`KBPS_128`
`spt_0vuwYPohPFSXAvSkzWkF6K`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/7f879dfbc23fc165626221940f9c4c8d/7f879dfbc23fc165626221940f9c4c8d.m3u8`,`200`,`KBPS_128`
`spt_0ymILt2M0bSmIr6wQzodN0`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/638ccfc055000625e71b4cc70a7110e1/638ccfc055000625e71b4cc70a7110e1.m3u8`,`257`,`KBPS_128`
`spt_0ZjMOWlFfzphBHg7dUQYZ3`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/7cfbb2b99366fb69cffce60c578c18f9/7cfbb2b99366fb69cffce60c578c18f9.m3u8`,`182`,`KBPS_128`
`spt_13ysj6RHMof1dnDtFv28x3`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/68daccff1078fb112fd0ebd3d6ccd7f9/68daccff1078fb112fd0ebd3d6ccd7f9.m3u8`,`177`,`KBPS_128`
`spt_1HWa2i5mZzs2VImVqwwfuI`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/2eabaf3e0acdccd166bc018ffd38f5c0/2eabaf3e0acdccd166bc018ffd38f5c0.m3u8`,`217`,`KBPS_128`
`spt_4W3Qn4QcL6yCminMfxqy4K`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r005/1911f6736caa15541446bab918480e35/1911f6736caa15541446bab918480e35.m3u8`,`294`,`KBPS_128`
`spt_0qhoXNNeVU6qSnKYj5vluc`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/1566f5b4494c2e024b9a4a3034112b73/1566f5b4494c2e024b9a4a3034112b73.m3u8`,`234`,`KBPS_128`
`spt_5vVztt8tKQx7wFwSHjwecg`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/2f1e00233b24f9eef5c3c8ca8439b6b9/2f1e00233b24f9eef5c3c8ca8439b6b9.m3u8`,`268`,`KBPS_128`
`spt_7A6TPwcsVDbsulmI9QGAph`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/a2c434b649775f1462712649b9d495a5/a2c434b649775f1462712649b9d495a5.m3u8`,`237`,`KBPS_128`
`spt_00K11OgSey6i2pGD1yELzj`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3e20b4a351a12c035e2d19194fdc986a/3e20b4a351a12c035e2d19194fdc986a.m3u8`,`236`,`KBPS_128`
`spt_05Pxaf28th9WTzaRlVUdDN`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/04d9c973ee5fa2a9f51c4d2292590434/04d9c973ee5fa2a9f51c4d2292590434.m3u8`,`195`,`KBPS_128`
`spt_096micLQeXKoOcmb8kFpdv`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/66b4d78e15dff2e220586aeaac65f0f8/66b4d78e15dff2e220586aeaac65f0f8.m3u8`,`325`,`KBPS_128`
`spt_09AWW687QMdm799EMGhQBP`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/676f00de5a9e9f483e6d521d95b0a361/676f00de5a9e9f483e6d521d95b0a361.m3u8`,`153`,`KBPS_128`
`spt_0CDr4vl3o2TGlsRCwAtxPk`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/0812fd9714f602376da04f571510808d/0812fd9714f602376da04f571510808d.m3u8`,`260`,`KBPS_128`
`spt_0CKUXbPbvanivYcq3xRCvV`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/99d1c494659a1eb417121b343227ae60/99d1c494659a1eb417121b343227ae60.m3u8`,`264`,`KBPS_128`
`spt_0eKIEiMHZv0pOxz4iGOXda`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/438eaf288a10c83be7941275f5370511/438eaf288a10c83be7941275f5370511.m3u8`,`178`,`KBPS_128`
`spt_0eT18QPOWLA8RTKYDyXow9`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/9aaa2dce72accc13b3da3e5873c66781/9aaa2dce72accc13b3da3e5873c66781.m3u8`,`237`,`KBPS_128`
`spt_0Jk62ZYAwt5i7RPWPmuxXj`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4e1fe7c1a0fb287e66942866c0146469/4e1fe7c1a0fb287e66942866c0146469.m3u8`,`261`,`KBPS_128`
`spt_0RJVyBZKJz3AllMTfyvAGh`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4191d729c736199086b2f5e0181f7e7c/4191d729c736199086b2f5e0181f7e7c.m3u8`,`309`,`KBPS_128`
`spt_09YuacyyW9Z6QvTbOfAHUk`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/55d43159d6db9e0bda381fa2b4a35750/55d43159d6db9e0bda381fa2b4a35750.m3u8`,`232`,`KBPS_128`
`spt_0SmQ0UWeiHKQtxUej4Rem6`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/1a63878858e4e803fd0d3f2c26717a87/1a63878858e4e803fd0d3f2c26717a87.m3u8`,`236`,`KBPS_128`
`spt_0w6zuIkd71pgwCT1UiKZKR`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/25c81d3788182ea83664c737c8705532/25c81d3788182ea83664c737c8705532.m3u8`,`206`,`KBPS_128`
`spt_14qu7zBvvmpdF3mz9yq8XS`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/84ca032b62d37e2fe1d97b3d9de517b6/84ca032b62d37e2fe1d97b3d9de517b6.m3u8`,`192`,`KBPS_128`
`spt_170CNv2CAZn8wg6GxvHXYC`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/19b72449bdf3b2e198aaa79e40dcedc0/19b72449bdf3b2e198aaa79e40dcedc0.m3u8`,`258`,`KBPS_128`
`spt_0gdxLgCTbLQUGaar06VrU4`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/70acd1a3d0d292f06781e936fec3cc88/70acd1a3d0d292f06781e936fec3cc88.m3u8`,`240`,`KBPS_128`
`spt_170MdwaTGeoThX8CD8jqev`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/106bdf2280e4a9ce03289cd695630d72/106bdf2280e4a9ce03289cd695630d72.m3u8`,`198`,`KBPS_128`
`spt_17k3DDXp4ow43OnDcKQGDu`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/00ec83d826d9ea829174a8c6d0a5d624/00ec83d826d9ea829174a8c6d0a5d624.m3u8`,`183`,`KBPS_128`
`spt_18PJkpwmdd96z9vcE3x8c0`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/418a6f29d340f90e6882ea431fb090ae/418a6f29d340f90e6882ea431fb090ae.m3u8`,`371`,`KBPS_128`
`spt_1anLaPUXfz04iFSFVQGkR0`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/191f61c1c35c100a85a545b7fb9eea43/191f61c1c35c100a85a545b7fb9eea43.m3u8`,`170`,`KBPS_128`
`spt_1aZXk1i2KQ6DvGQRUabfro`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/1bfee490c2d85ffc55b6afd9d9ffde12/1bfee490c2d85ffc55b6afd9d9ffde12.m3u8`,`270`,`KBPS_128`
`spt_4GxeoZr1alWkjeTBPYY0Mw`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/c9ab0e60dfc23078835c7b1433407613/c9ab0e60dfc23078835c7b1433407613.m3u8`,`180`,`KBPS_128`
`spt_4I269ZWGO1LEkUc9n3efCR`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/578c8e75443a069a0d4863ea24895509/578c8e75443a069a0d4863ea24895509.m3u8`,`270`,`KBPS_128`
`spt_58pSnJNdnoE2BlNoqQfI2A`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r005/719870b099ae46d6ce5bf0e855a07d25/719870b099ae46d6ce5bf0e855a07d25.m3u8`,`308`,`KBPS_128`
`spt_65SsVzT2vxm3fCQXt6xGVB`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r005/08ce70204a2498ce9a4dad2f08911e3d/08ce70204a2498ce9a4dad2f08911e3d.m3u8`,`294`,`KBPS_128`
`spt_05mKTB04qMaCRHwuVf9HGv`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/87cf9a7f0f7b1f66db893c0a286e1b5b/87cf9a7f0f7b1f66db893c0a286e1b5b.m3u8`,`147`,`KBPS_128`
`spt_7yy5HMjvW8SXqMzIBm6SBU`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/114cadd596a57d397e8636ec2b1bdece/114cadd596a57d397e8636ec2b1bdece.m3u8`,`229`,`KBPS_128`
`spt_3xS3UNtKl8HPrlH4pefrlU`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/5af294424036c9bd126aede3beeda073/5af294424036c9bd126aede3beeda073.m3u8`,`281`,`KBPS_128`
`spt_0cA468KObwgEEQe9ym38CA`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/6d91447a586e9fc9410b4d542d35b568/6d91447a586e9fc9410b4d542d35b568.m3u8`,`242`,`KBPS_128`
`spt_0fIdC9LNwvOPrAomJEY4fv`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4cbfc0e731dc44189c0d3096e3b6cc02/4cbfc0e731dc44189c0d3096e3b6cc02.m3u8`,`188`,`KBPS_128`
`spt_0JFM7ZkeMU7Kl4s49xeHjX`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/05f90656e9885cd995fdd421aba2cb21/05f90656e9885cd995fdd421aba2cb21.m3u8`,`208`,`KBPS_128`
`spt_0Oc56li8HQ1uIBn6vhHpRp`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/39c68d4f495a4016bb4fd972c3894dca/39c68d4f495a4016bb4fd972c3894dca.m3u8`,`270`,`KBPS_128`
`spt_0OdMGfwVtGyKGG9kxqxwYH`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/016bf7a7abae627e42e6d99ad4456ff4/016bf7a7abae627e42e6d99ad4456ff4.m3u8`,`241`,`KBPS_128`
`spt_0og7kvyZ8EGvIxM19nOGzP`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3390bd89acf0dec8fcc9d5c4385585c9/3390bd89acf0dec8fcc9d5c4385585c9.m3u8`,`203`,`KBPS_128`
`spt_0pbEuGOBJK82UCkhq6IPWa`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/602c0f936506287ff290d921d7bf8393/602c0f936506287ff290d921d7bf8393.m3u8`,`101`,`KBPS_128`
`spt_0rWGgkEMSHJxljW5VFStmK`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/9d559d367b667263f32df0cb37c8fa78/9d559d367b667263f32df0cb37c8fa78.m3u8`,`211`,`KBPS_128`
`spt_0WhDtsjJyBjcHJWGuEMzJU`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/197ec1ae441508a2794d5d58ff3c2fb5/197ec1ae441508a2794d5d58ff3c2fb5.m3u8`,`211`,`KBPS_128`
`spt_0WKpaI4L7dtQy62hyuzECQ`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/3381f52fc81bf260131dafb9728caf0d/3381f52fc81bf260131dafb9728caf0d.m3u8`,`243`,`KBPS_128`
`spt_0wmin99fhSRGQk1b875G5P`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/58e021b4906d3128e218fc313e5bea1c/58e021b4906d3128e218fc313e5bea1c.m3u8`,`229`,`KBPS_128`
`spt_0zwh6OWqVxAZbhUvqFSDA5`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/7fdaf8a9d69f9f287b84d66a2ba20294/7fdaf8a9d69f9f287b84d66a2ba20294.m3u8`,`239`,`KBPS_128`
`spt_14A2rJkYNC7ttZRz0Pk8so`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/4e9cec0e4a4026e565a604909605da3a/4e9cec0e4a4026e565a604909605da3a.m3u8`,`222`,`KBPS_128`
`spt_189kQq5hbZTm27zi4uwKqE`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/41a119cd8179de4980dc782c6f0500ff/41a119cd8179de4980dc782c6f0500ff.m3u8`,`311`,`KBPS_128`
`spt_18u5RjBZPbBvzajMVZnCbo`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/9ee60ae49cbc38b5f52f738bb9733b59/9ee60ae49cbc38b5f52f738bb9733b59.m3u8`,`236`,`KBPS_128`
`spt_1BL5MlpmXKaFrK04HaCw3d`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/8e845c14784c4f6471afa2c456a68e20/8e845c14784c4f6471afa2c456a68e20.m3u8`,`223`,`KBPS_128`
`spt_1tY6IGfIFwLyNZA8KfoGVs`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/aud/r000/195b76b66b4b6dfbc3e8bce5e5b48ae1/195b76b66b4b6dfbc3e8bce5e5b48ae1.m3u8`,`240`,`KBPS_128`
