`name`,`ispublic`,`description`,`officialreleaseddate`,`durationsecond`,`isplayable`,`thumbnailurl`,`refcode`,`tagsjson`,`artistrefcodes`
`Nhớ`,`true`,,`2012-02-25`,`282`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/1c7c0322815e65859ed794cb932f41b8/1c7c0322815e65859ed794cb932f41b8.jpg`,`spt_0hCsBeXVyQRwI4HPpL8hn2`,`["Nhớ"]`,`["spt_7luDDYsfkSivBsoTz3BKMq"]`
`Pha Lê Tím`,`true`,,`2015`,`306`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/02657ccb5218a125497bf2461172435d/02657ccb5218a125497bf2461172435d.jpg`,`spt_0k8EfmaRm7abdd4AkfcCw9`,`["Pha Lê Tím"]`,`["spt_0rE9b0bBqWMsJcctnh5DUu", "spt_1uXHYAZLyOQY5qaM1crBNK"]`
`Heartbreaker`,`true`,,`2021-09-01`,`240`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/7bd945583bfc515cbb0452986f00b729/7bd945583bfc515cbb0452986f00b729.jpg`,`spt_10jWABe0icw1OxInJzGOws`,`["Heartbreaker"]`,`["spt_0RzxSfLRSQmRJ3fFabRMsT"]`
`Lắng Động`,`true`,,`2022-03-25`,`268`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/4272dd35f606ba0ecdba534b57e05e11/4272dd35f606ba0ecdba534b57e05e11.jpg`,`spt_12khkwwOGnd00nqYbFQBKJ`,`["Lắng Động"]`,`["spt_4FrPAu85cg1oI2Uk2P6LKF"]`
`Gạt`,`true`,,`2022-02-18`,`377`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r002/fb6302fb5098850720182222d2e87ac2/fb6302fb5098850720182222d2e87ac2.jpg`,`spt_2I8KPoG3ZyolHlHpz2Bj5c`,`["Gạt"]`,`["spt_1OTkIK6Wp404yC0pwXnJYF"]`
`Như`,`true`,,`2018-07-31`,`363`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r004/45ef0eb06fa5837ff4ef09ed5d6b27f4/45ef0eb06fa5837ff4ef09ed5d6b27f4.jpg`,`spt_5u92CiNUBz3LhsG7VygjIL`,`["Như"]`,`["spt_3FwYnbtGNt8hJfjNuOfpeG"]`
`Cánh Đồng`,`true`,,`2016-12-02`,`186`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/5e2510addea656005ecf49849de776c8/5e2510addea656005ecf49849de776c8.jpg`,`spt_14u2LP4rq8QhJ7eeyBVktp`,`["Cánh Đồng"]`,`["spt_2j3AXmye1FJXoGOXr6tufj"]`
`CCPCLK`,`true`,,`2018-06-30`,`134`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/28b7d266a7501f0f838643847e868043/28b7d266a7501f0f838643847e868043.jpg`,`spt_1awcuxTG8NaqKwc80RhCKB`,`["CCPCLK"]`,`["spt_2j3AXmye1FJXoGOXr6tufj"]`
`Mua`,`true`,,`2018-10-19`,`277`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/3fa599da287c6f5968729660a3d0240c/3fa599da287c6f5968729660a3d0240c.jpg`,`spt_12KA0kbnxGvgeasCSsZmnj`,`["Mua"]`,`["spt_78TTKBLrw5XIRty0KnyftQ"]`
`Mùa Em`,`true`,,`2018-07-31`,`306`,`true`,`https://raw.githubusercontent.com/vutiendat3601/cdn/_/img/aud/r000/3101e33ef7816103c4496b8dbdad4354/3101e33ef7816103c4496b8dbdad4354.jpg`,`spt_14p0AO0Lsa4r6kv5MTSQ1L`,`["Mùa Em"]`,`["spt_7sxSmvFspSmM7mIFnk0mdB"]`
